"Compteurs","description Compteurs","ajout date"
"C0000000c-A005-12","Poste de garde ",
"C0000000e-B002-14","Auto passion",
"C0000000f-B004-15","local W (Local à papier derrière Sylfen) + local Antoine",
"C0000000d-B008-13","Atelier mécanique Cheylas",
"C00000001-A003-1","Altitude commerciale (la conserverie)",
"C00000002-B007-2","Sibuet atelier (hall à billettes)",
"C00000003-B001-3","Sylfen",
"C00000004-A002-4","Bureaux et communs administratif centraux rez de chaussée",
"C00000005-A001-5","coffret ""local pompes""",
"C00000006-B006-6","Carrossier",
"C00000007-B005-7","Cascade",
"C00000008-B003-8","K2M",
"C00000009-A004-9","Locaux sociaux de Sibuet",
"C00000010-EM_VIRTUAL-16","Total puissance",
"C0000000b-D001-11","Clim Sweetair",
"C0000000a-D002-10","RDC aile Chartreuse",
"C00000011-A006-18","Serma",
"C00000016-GENERAL_ADMINISTRATIF-23","zone A-B-C-D",
"C00000015-F002-22","Cegelec Vinci",
"C00000014-F001-21","Zone F",
"C00000012-E001-19","Zone E ",
"C00000013-E002-20","Geodis",
"PV00000001-centrale SLS 80kWc","centrale PV sls 80 kWc",
